user_id,subscription_plan,tenure_months,monthly_charges,total_charges,num_logins_30d,support_tickets,avg_session_min,features_used,payment_delays,referrals_made,churned,churn_probability,risk_tier,engagement_score,is_high_value,churn_risk_band,revenue_at_risk,at_risk_signal
USER000001,Standard,15,58.18,872.7,43,8,58.4,13,4,5,0,0.2445,Medium,33.72,1,Medium,14.23,0
USER000002,Standard,33,73.92,2439.36,32,0,73.7,9,2,7,0,0.0127,Low,35.21,1,Low,0.94,0
USER000003,Premium,71,126.51,8982.21,57,5,61.0,9,2,6,1,0.4894,Medium,38.3,1,Medium,61.91,0
USER000004,Basic,30,36.02,1080.6,18,9,110.8,8,0,6,0,0.1936,Low,40.94,0,Low,6.97,0
USER000005,Premium,10,92.67,926.7,13,3,9.5,6,1,1,0,0.3466,Medium,8.75,0,Medium,32.12,0
USER000006,Standard,66,74.4,4910.4,1,5,82.0,2,2,2,0,0.0875,Low,26.0,1,Low,6.51,1
USER000007,Basic,21,36.73,771.33,15,9,62.6,3,4,2,0,0.0985,Low,24.18,0,Low,3.62,0
USER000008,Basic,37,37.59,1390.83,31,1,119.9,19,0,7,0,0.071,Low,50.67,0,Low,2.67,0
USER000009,Premium,22,106.83,2350.26,0,9,32.6,11,2,6,0,0.3257,Medium,12.68,1,Medium,34.79,1
USER000010,Basic,45,29.25,1316.25,50,1,19.1,18,3,5,0,0.2251,Medium,25.73,0,Medium,6.58,0
USER000011,Standard,67,76.26,5109.42,0,9,110.5,7,4,2,0,0.1941,Low,34.85,1,Low,14.8,1
USER000012,Standard,59,64.48,3804.32,51,6,42.1,5,1,9,0,0.2736,Medium,30.23,1,Medium,17.64,0
USER000013,Basic,12,44.58,534.96,29,7,55.8,11,3,2,0,0.1172,Low,28.14,0,Low,5.22,0
USER000014,Standard,64,51.21,3277.44,25,2,72.3,11,1,9,0,0.0129,Low,33.09,0,Low,0.66,0
USER000015,Premium,35,117.16,4100.6,54,5,45.5,2,1,2,0,0.3937,Medium,30.95,1,Medium,46.13,0
USER000016,Basic,42,48.03,2017.26,38,7,80.9,3,1,6,0,0.0342,Low,37.17,0,Low,1.64,0
USER000017,Premium,48,119.96,5758.08,34,7,114.3,4,4,4,0,0.4232,Medium,45.99,1,Medium,50.77,0
USER000018,Standard,50,52.03,2601.5,2,1,47.6,3,0,0,0,0.2462,Medium,16.38,0,Medium,12.81,0
USER000019,Basic,21,45.12,947.52,10,7,63.5,12,3,7,0,0.2319,Medium,25.45,0,Medium,10.46,0
USER000020,Premium,41,118.2,4846.2,18,7,41.0,10,4,0,0,0.5563,High,20.0,1,High,65.75,0
USER000021,Basic,13,35.82,465.66,51,6,70.3,7,1,5,0,0.2029,Medium,38.69,0,Medium,7.27,0
USER000022,Standard,14,59.19,828.66,56,8,89.9,19,0,8,0,0.0688,Low,48.57,1,Low,4.07,0
USER000023,Basic,61,48.56,2962.16,0,9,83.3,2,1,4,0,0.1312,Low,25.89,0,Low,6.37,0
USER000024,Premium,2,94.0,188.0,5,7,74.3,4,2,8,1,0.85,Critical,25.69,0,Critical,79.9,0
USER000025,Premium,61,103.82,6333.02,42,1,75.4,11,1,9,0,0.5245,High,39.22,1,High,54.45,0
USER000026,Basic,70,43.88,3071.6,38,1,70.4,2,4,2,1,0.2568,Medium,34.02,0,Medium,11.27,0
USER000027,Standard,15,60.19,902.85,24,8,55.4,16,4,2,0,0.2031,Medium,27.42,1,Medium,12.22,0
USER000028,Basic,13,44.37,576.81,25,2,61.6,3,2,8,0,0.0086,Low,28.18,0,Low,0.38,0
USER000029,Standard,32,77.24,2471.68,32,0,13.6,1,1,0,1,0.1435,Low,14.88,1,Low,11.08,0
USER000030,Basic,33,42.18,1391.94,32,1,72.3,10,2,7,0,0.0659,Low,34.89,0,Low,2.78,0
USER000031,Basic,49,36.94,1810.06,8,9,10.7,12,1,0,0,0.0507,Low,8.11,0,Low,1.87,0
USER000032,Basic,3,39.53,118.59,51,4,111.9,19,2,3,0,0.524,High,53.57,0,High,20.71,0
USER000033,Standard,20,61.0,1220.0,41,0,58.8,14,1,4,0,0.1536,Low,34.14,1,Low,9.37,0
USER000034,Basic,39,32.22,1256.58,26,6,15.5,4,0,9,0,0.1424,Low,14.55,0,Low,4.59,0
USER000035,Basic,50,46.55,2327.5,9,7,53.1,16,1,6,0,0.2195,Medium,22.73,0,Medium,10.22,0
USER000036,Basic,14,29.48,412.72,26,0,18.1,7,0,1,0,0.062,Low,15.73,0,Low,1.83,0
USER000037,Premium,62,125.84,7802.08,24,3,17.6,16,2,0,0,0.2978,Medium,16.38,1,Medium,37.48,0
USER000038,Standard,16,74.55,1192.8,36,1,2.9,7,0,7,0,0.0173,Low,14.67,1,Low,1.29,0
USER000039,Basic,67,31.7,2123.9,33,4,102.0,19,3,3,0,0.2797,Medium,45.2,0,Medium,8.87,0
USER000040,Premium,51,106.13,5412.63,36,4,86.8,18,2,5,1,0.3377,Medium,41.54,1,Medium,35.84,0
USER000041,Standard,55,76.87,4227.85,49,1,41.2,16,0,3,0,0.158,Low,31.46,1,Low,12.15,0
USER000042,Basic,9,46.06,414.54,37,3,80.8,16,1,2,0,0.2447,Medium,39.44,0,Medium,11.27,0
USER000043,Standard,58,59.94,3476.52,12,1,48.2,2,4,4,0,0.0181,Low,19.76,1,Low,1.08,0
USER000044,Standard,10,69.45,694.5,56,7,101.1,10,4,9,0,0.1683,Low,50.33,0,Low,11.69,0
USER000045,Premium,15,120.3,1804.5,41,9,32.4,10,1,5,0,0.5177,High,24.62,1,High,62.28,0
USER000046,Premium,6,102.52,615.12,5,2,95.4,12,4,6,0,0.2997,Medium,33.92,0,Medium,30.73,0
USER000047,Basic,48,30.13,1446.24,50,9,95.4,5,2,0,0,0.1185,Low,44.72,0,Low,3.57,0
USER000048,Premium,21,126.5,2656.5,35,7,3.9,7,0,5,1,0.4255,Medium,13.87,1,Medium,53.83,0
USER000049,Standard,20,50.26,1005.2,39,0,110.5,1,1,9,0,0.2565,Medium,46.95,0,Medium,12.89,0
USER000050,Basic,15,29.85,447.75,37,2,8.8,9,0,0,0,0.0963,Low,16.34,0,Low,2.87,0
USER000051,Standard,19,71.49,1358.31,53,3,21.4,16,4,0,0,0.2272,Medium,26.22,1,Medium,16.24,0
USER000052,Basic,33,32.85,1084.05,35,6,104.5,13,0,5,0,0.1384,Low,45.35,0,Low,4.55,0
USER000053,Basic,64,33.76,2160.64,15,6,19.1,9,4,0,0,0.246,Medium,12.43,0,Medium,8.3,0
USER000054,Premium,19,89.76,1705.44,21,5,118.8,9,1,6,1,0.3474,Medium,44.84,1,Medium,31.18,0
USER000055,Premium,67,115.47,7736.49,37,4,29.5,6,1,9,0,0.564,High,22.65,1,High,65.13,0
USER000056,Premium,68,123.27,8382.36,49,6,86.2,2,3,0,0,0.3186,Medium,41.36,1,Medium,39.27,0
USER000057,Standard,28,55.23,1546.44,26,0,14.9,10,4,0,0,0.0234,Low,15.27,0,Low,1.29,0
USER000058,Standard,8,68.34,546.72,49,8,81.2,16,4,2,0,0.0633,Low,42.66,0,Low,4.33,0
USER000059,Premium,64,116.69,7468.16,34,7,80.3,19,2,3,0,0.3948,Medium,38.69,1,Medium,46.07,0
USER000060,Basic,11,40.89,449.79,5,0,90.7,4,4,0,0,0.1921,Low,30.51,0,Low,7.85,0
USER000061,Standard,40,50.35,2014.0,34,9,71.1,2,3,1,0,0.0769,Low,32.13,0,Low,3.87,0
USER000062,Standard,44,76.56,3368.64,48,6,113.6,5,4,0,0,0.2683,Medium,49.88,1,Medium,20.54,0
USER000063,Premium,56,119.25,6678.0,40,6,23.4,14,3,0,0,0.3647,Medium,22.22,1,Medium,43.49,0
