user_id,subscription_plan,tenure_months,monthly_charges,total_charges,num_logins_30d,support_tickets,avg_session_min,features_used,payment_delays,referrals_made,churned,churn_probability,risk_tier
USER000001,Standard,15,58.18,872.64,43,8,58.4,13,4,5,0,0.2445,Medium
USER000002,Standard,33,73.92,2439.41,32,0,73.7,9,2,7,0,0.0127,Low
USER000003,Premium,71,126.51,8982.36,57,5,61.0,9,2,6,1,0.4894,Medium
USER000004,Basic,30,36.02,1080.61,18,9,110.8,8,0,6,0,0.1936,Low
USER000005,Premium,10,92.67,926.74,13,3,9.5,6,1,1,0,0.3466,Medium
USER000006,Standard,66,74.4,4910.43,1,5,82.0,2,2,2,0,0.0875,Low
USER000007,Basic,21,36.73,771.33,15,9,62.6,3,4,2,0,0.0985,Low
USER000008,Basic,37,37.59,1390.98,31,1,119.9,19,0,7,0,0.071,Low
USER000009,Premium,22,106.83,2350.37,0,9,32.6,11,2,6,0,0.3257,Medium
USER000010,Basic,45,29.25,1316.13,50,1,19.1,18,3,5,0,0.2251,Medium
USER000011,Standard,67,76.26,5109.26,0,9,110.5,7,4,2,0,0.1941,Low
USER000012,Standard,59,64.48,3804.03,51,6,42.1,5,1,9,0,0.2736,Medium
USER000013,Basic,12,44.58,534.92,29,7,55.8,11,3,2,0,0.1172,Low
USER000014,Standard,64,51.21,3277.17,25,2,72.3,11,1,9,0,0.0129,Low
USER000015,Premium,35,117.16,4100.44,54,5,45.5,2,1,2,0,0.3937,Medium
USER000016,Basic,42,48.03,2017.1,38,7,80.9,3,1,6,0,0.0342,Low
USER000017,Premium,48,119.96,5758.3,34,7,114.3,4,4,4,0,0.4232,Medium
USER000018,Standard,50,52.03,2601.28,2,1,47.6,3,0,0,0,0.2462,Medium
USER000019,Basic,21,45.12,947.62,10,7,63.5,12,3,7,0,0.2319,Medium
USER000020,Premium,41,118.2,4846.36,18,7,41.0,10,4,0,0,0.5563,High
USER000021,Basic,13,35.82,465.65,51,6,70.3,7,1,5,0,0.2029,Medium
USER000022,Standard,14,59.19,828.73,56,8,89.9,19,0,8,0,0.0688,Low
USER000023,Basic,61,48.56,2962.44,0,9,83.3,2,1,4,0,0.1312,Low
USER000024,Premium,2,94.0,188.0,5,7,74.3,4,2,8,1,0.85,Critical
USER000025,Premium,61,103.82,6332.99,42,1,75.4,11,1,9,0,0.5245,High
USER000026,Basic,70,43.88,3071.87,38,1,70.4,2,4,2,1,0.2568,Medium
USER000027,Standard,15,60.19,902.83,24,8,55.4,16,4,2,0,0.2031,Medium
USER000028,Basic,13,44.37,576.81,25,2,61.6,3,2,8,0,0.0086,Low
USER000029,Standard,32,77.24,2471.78,32,0,13.6,1,1,0,1,0.1435,Low
USER000030,Basic,33,42.18,1391.82,32,1,72.3,10,2,7,0,0.0659,Low
USER000031,Basic,49,36.94,1809.93,8,9,10.7,12,1,0,0,0.0507,Low
USER000032,Basic,3,39.53,118.6,51,4,111.9,19,2,3,0,0.524,High
USER000033,Standard,20,61.0,1219.97,41,0,58.8,14,1,4,0,0.1536,Low
USER000034,Basic,39,32.22,1256.41,26,6,15.5,4,0,9,0,0.1424,Low
USER000035,Basic,50,46.55,2327.3,9,7,53.1,16,1,6,0,0.2195,Medium
USER000036,Basic,14,29.48,412.7,26,0,18.1,7,0,1,0,0.062,Low
USER000037,Premium,62,125.84,7801.96,24,3,17.6,16,2,0,0,0.2978,Medium
USER000038,Standard,16,74.55,1192.84,36,1,2.9,7,0,7,0,0.0173,Low
USER000039,Basic,67,31.7,2123.71,33,4,102.0,19,3,3,0,0.2797,Medium
USER000040,Premium,51,106.13,5412.71,36,4,86.8,18,2,5,1,0.3377,Medium
USER000041,Standard,55,76.87,4227.74,49,1,41.2,16,0,3,0,0.158,Low
USER000042,Basic,9,46.06,414.52,37,3,80.8,16,1,2,0,0.2447,Medium
USER000043,Standard,58,59.94,3476.76,12,1,48.2,2,4,4,0,0.0181,Low
USER000044,Standard,10,69.45,694.53,56,7,101.1,10,4,9,0,0.1683,Low
USER000045,Premium,15,120.3,1804.45,41,9,32.4,10,1,5,0,0.5177,High
USER000046,Premium,6,102.52,615.11,5,2,95.4,12,4,6,0,0.2997,Medium
USER000047,Basic,48,30.13,1446.29,50,9,95.4,5,2,0,0,0.1185,Low
USER000048,Premium,21,126.5,2656.6,35,7,3.9,7,0,5,1,0.4255,Medium
USER000049,Standard,20,50.26,1005.27,39,0,110.5,1,1,9,0,0.2565,Medium
USER000050,Basic,15,29.85,447.7,37,2,8.8,9,0,0,0,0.0963,Low
USER000051,Standard,19,71.49,1358.29,53,3,21.4,16,4,0,0,0.2272,Medium
USER000052,Basic,33,32.85,1083.97,35,6,104.5,13,0,5,0,0.1384,Low
USER000053,Basic,64,33.76,2160.95,15,6,19.1,9,4,0,0,0.246,Medium
USER000054,Premium,19,89.76,1705.44,21,5,118.8,9,1,6,1,0.3474,Medium
USER000055,Premium,67,115.47,7736.3,37,4,29.5,6,1,9,0,0.564,High
USER000056,Premium,68,123.27,8382.41,49,6,86.2,2,3,0,0,0.3186,Medium
USER000057,Standard,28,55.23,1546.37,26,0,14.9,10,4,0,0,0.0234,Low
USER000058,Standard,8,68.34,546.69,49,8,81.2,16,4,2,0,0.0633,Low
USER000059,Premium,64,116.69,7468.45,34,7,80.3,19,2,3,0,0.3948,Medium
USER000060,Basic,11,40.89,449.76,5,0,90.7,4,4,0,0,0.1921,Low
USER000061,Standard,40,50.35,2013.89,34,9,71.1,2,3,1,0,0.0769,Low
USER000062,Standard,44,76.56,3368.79,48,6,113.6,5,4,0,0,0.2683,Medium
USER000063,Premium,56,119.25,6677.81,40,6,23.4,14,3,0,0,0.3647,Medium
USER000064,Standard,29,50.86,1474.97,16,9,105.2,12,1,5,0,0.0857,Low
USER000065,Standard,70,70.74,4951.79,46,4,81.8,16,4,0,0,0.0265,Low
USER000066,Basic,43,42.26,1817.33,4,3,69.8,7,4,6,0,0.2837,Medium
USER000067,Basic,67,42.73,2862.75,22,4,85.3,5,1,2,0,0.2628,Medium
